Clock type: CPU
Ordered by: ttot, desc

name                                  ncall  tsub      ttot      tavg
...10/sre_parse.py:255 Tokenizer.get  8      0.000009  0.000017  0.000002
..external>:1494 FileFinder.__init__  1      0.000005  0.000017  0.000017
..ing/queues.py:71 _SafeQueue._reset  2      0.000008  0.000016  0.000008
..tornado/iostream.py:618 <listcomp>  15     0.000016  0.000016  0.000001
..processing/process.py:94 <genexpr>  22     0.000016  0.000016  0.000001
..g/process.py:189 _MainProcess.name  11     0.000015  0.000015  0.000001
..10/asyncio/locks.py:201 Event.wait  1      0.000005  0.000015  0.000015
..hreading.py:422 Semaphore.__init__  2      0.000006  0.000015  0.000007
..bootstrap_external>:71 _relax_case  32     0.000014  0.000014  0.000000
..thon3.10/copyreg.py:109 _slotnames  1      0.000009  0.000012  0.000012
..0/weakref.py:353 KeyedRef.__init__  12     0.000012  0.000012  0.000001
